player,surface,tour,serve_win_pct,return_win_pct,match_num
Abedallah Shelbayh,Clay,ATP,0.5449262619113999,0.3636028054632705,4
Abedallah Shelbayh,Grass,ATP,0.5526315789473685,0.3090909090909091,2
Abedallah Shelbayh,Hard,ATP,0.6024620436409079,0.3712365944332347,8
Adam Moundir,Clay,ATP,0.6216216216216216,0.3375,1
Adam Neff,Hard,ATP,0.5,0.131578947368421,1
Adam Walton,Clay,ATP,0.5648148148148148,0.3191489361702128,1
Adam Walton,Grass,ATP,0.670664391810518,0.3697967380720545,4
Adam Walton,Hard,ATP,0.6960813559322034,0.3277373542561584,9
Adria Soriano Barrera,Clay,ATP,0.6515151515151515,0.3815439912486326,2
Adrian Mannarino,Clay,ATP,0.5764901766288573,0.3728760161099009,13
Adrian Mannarino,Grass,ATP,0.6197723658464297,0.3515965248742168,30
Adrian Mannarino,Hard,ATP,0.6375960982101745,0.3610306398980512,122
Aisam Ul Haq Qureshi,Grass,ATP,0.6975752508361204,0.2776315789473684,2
Ajeet Rai,Hard,ATP,0.5492957746478874,0.3096446700507614,3
Ajla Tomljanovic,Clay,WTA,0.5571962313190383,0.4372890590785988,17
Ajla Tomljanovic,Grass,WTA,0.5660722250167672,0.3995105905006418,16
Ajla Tomljanovic,Hard,WTA,0.5631169547065104,0.4326421676537222,49
Akasha Urhobo,Hard,WTA,0.4333333333333333,0.4393939393939394,1
Alan Fernando Rubio Fierros,Hard,ATP,0.6203304597701149,0.2859216255442671,2
Alastair Gray,Grass,ATP,0.6316530691530692,0.3559803921568628,2
Albert Ramos,Clay,ATP,0.5974319931787039,0.3855882822268432,68
Albert Ramos,Grass,ATP,0.6032978014656896,0.2789450484866295,4
Albert Ramos,Hard,ATP,0.596523346431012,0.346429253404904,29
Aldila Sutjiadi,Clay,WTA,0.5601851851851851,0.4878850602703032,5
Alec Beckley,Clay,ATP,0.5714285714285714,0.2833333333333333,1
Alejandro Davidovich Fokina,Clay,ATP,0.6116768206060571,0.4040680710229214,43
Alejandro Davidovich Fokina,Grass,ATP,0.6497573841323278,0.3498387892513401,12
Alejandro Davidovich Fokina,Hard,ATP,0.6253933361013767,0.3797977800759689,91
Alejandro Gonzalez,Hard,ATP,0.3720930232558139,0.2926829268292683,1
Alejandro Moro Canas,Clay,ATP,0.5422077922077921,0.3368421052631579,2
Alejandro Moro Canas,Grass,ATP,0.6511627906976745,0.2429906542056075,1
Alejandro Tabilo,Clay,ATP,0.6096374075403691,0.3903587356197039,40
Alejandro Tabilo,Grass,ATP,0.656228296678427,0.2843957666587196,13
Alejandro Tabilo,Hard,ATP,0.6398092282616367,0.3768074168842052,45
Aleksandar Kovacevic,Clay,ATP,0.6429401539122622,0.307280818034639,8
Aleksandar Kovacevic,Grass,ATP,0.5603021442495127,0.3110038610038609,5
Aleksandar Kovacevic,Hard,ATP,0.6478901214545872,0.3315151160711131,35
Aleksandar Vukic,Clay,ATP,0.629055985790489,0.3580875662793388,12
Aleksandar Vukic,Grass,ATP,0.6687923845383451,0.3123668631308768,17
Aleksandar Vukic,Hard,ATP,0.6579087291656023,0.3317171681211378,57
Aleksandra Krunic,Clay,WTA,0.5470180138803837,0.4538730970955505,17
Aleksandra Krunic,Grass,WTA,0.602106972937836,0.3763024030444168,7
Aleksandra Krunic,Hard,WTA,0.5417553097310176,0.4176582325906661,10
Aleksandre Bakshi,Hard,ATP,0.5368809272918862,0.366283064239093,3
Aleksandre Metreveli,Hard,ATP,0.5270935960591133,0.2378048780487804,3
Alessandro Giannessi,Clay,ATP,0.5178703703703703,0.3323308270676691,2
Alex Bolt,Grass,ATP,0.6547497909358094,0.3434274382783868,5
Alex Bolt,Hard,ATP,0.6662706162332913,0.3575127463901283,7
Alex De Minaur,Clay,ATP,0.6034168150257159,0.4143139665307083,39
Alex De Minaur,Grass,ATP,0.6547154335665496,0.4055316173356294,28
Alex De Minaur,Hard,ATP,0.6264332056768794,0.3855572027518141,138
Alex Knaff,Clay,ATP,0.5851385977172141,0.3304597701149425,2
Alex Knaff,Hard,ATP,0.6928104575163399,0.44375,2
Alex Michelsen,Clay,ATP,0.5922140944731307,0.3727045568125028,9
Alex Michelsen,Grass,ATP,0.6804173485710501,0.3427699995830541,16
Alex Michelsen,Hard,ATP,0.6318087533862229,0.3656962222102495,54
Alex Molcan,Clay,ATP,0.572918288179749,0.4122305966006819,40
Alex Molcan,Grass,ATP,0.6265101836530408,0.3079957582184517,7
Alex Molcan,Hard,ATP,0.6187092639553071,0.352622506088978,29
Alex Rybakov,Hard,ATP,0.5922330097087378,0.3,1
Alexa Noel,Hard,WTA,0.4406779661016949,0.3181818181818182,1
Alexandar Lazarov,Hard,ATP,0.6045824094604583,0.3385926080251013,4
Alexander Blockx,Hard,ATP,0.6207215541165587,0.3004195385076416,3
Alexander Bublik,Clay,ATP,0.6147944342067158,0.3414399333524847,28
Alexander Bublik,Grass,ATP,0.6816912095104933,0.3439279822298401,33
Alexander Bublik,Hard,ATP,0.6408954569525696,0.3476776658899775,93
Alexander Ritschard,Clay,ATP,0.613541268255554,0.3694491401739663,6
Alexander Ritschard,Grass,ATP,0.56875,0.3455882352941176,1
Alexander Ritschard,Hard,ATP,0.6238556160516233,0.3476988017429194,3
Alexander Shevchenko,Clay,ATP,0.5703971462931382,0.3788941234763868,27
Alexander Shevchenko,Grass,ATP,0.5841936208333304,0.3264933362578596,4
Alexander Shevchenko,Hard,ATP,0.6034982385860298,0.3435826959403407,53
Alexander Zverev,Clay,ATP,0.6238900430795407,0.3903230509201842,76
Alexander Zverev,Grass,ATP,0.7450336842792372,0.2986850184332035,15
Alexander Zverev,Hard,ATP,0.6716162973325099,0.3582504917415492,118
Alexandra Cadantu Ignatik,Clay,WTA,0.4657216494845361,0.4327956989247312,3
Alexandra Eala,Clay,WTA,0.4321183252217735,0.453813104189044,3
Alexandra Eala,Hard,WTA,0.4126496809172528,0.3862425667627953,11
Alexandre Muller,Clay,ATP,0.6051392701076157,0.384366005219671,25
Alexandre Muller,Grass,ATP,0.6006119594772077,0.3505355061397674,4
Alexandre Muller,Hard,ATP,0.6169758508820747,0.3893209806136799,31
Alexei Popyrin,Clay,ATP,0.6433157842637113,0.3415137085162685,29
Alexei Popyrin,Grass,ATP,0.6809582647345351,0.3053405115103578,12
Alexei Popyrin,Hard,ATP,0.6554622026147932,0.339477538924847,76
Alexey Vatutin,Clay,ATP,0.4788732394366197,0.3934426229508196,1
Alexey Vatutin,Hard,ATP,0.5372807017543859,0.3434343434343434,2
Alexis Galarneau,Clay,ATP,0.5232558139534884,0.4242424242424242,1
Alexis Galarneau,Hard,ATP,0.6369111440065395,0.3527258663661799,4
Alexis Klegou,Hard,ATP,0.5138888888888888,0.4107142857142857,1
Aliaksandra Sasnovich,Clay,WTA,0.5339435059458505,0.4482831152515252,30
Aliaksandra Sasnovich,Grass,WTA,0.526685462527772,0.4056592972898596,14
Aliaksandra Sasnovich,Hard,WTA,0.5541840946356423,0.4367050700618201,52
Alibek Kachmazov,Hard,ATP,0.6148714376396297,0.4056973354655887,7
Alice Robbe,Clay,WTA,0.3829787234042553,0.3541666666666666,1
Alina Korneeva,Hard,WTA,0.5520194291186196,0.4386406258810775,9
Aliona Bolsova,Clay,WTA,0.5362443368223715,0.5190217391304348,4
Aliona Bolsova,Hard,WTA,0.4875,0.3636363636363636,1
Aliona Falei,Clay,WTA,0.1111111111111111,0.1428571428571429,1
Aliona Falei,Hard,WTA,0.5263157894736842,0.3768115942028985,1
Alison Riske Amritraj,Clay,WTA,0.4906978116917265,0.3716952150437535,6
Alison Riske Amritraj,Grass,WTA,0.5798466127837602,0.3827264890793075,12
Alison Riske Amritraj,Hard,WTA,0.5651596204239616,0.4080787211729107,36
Alison Van Uytvanck,Clay,WTA,0.4565831074977416,0.4455917874396135,4
Alison Van Uytvanck,Grass,WTA,0.5632222306010105,0.3991686163101604,7
Alison Van Uytvanck,Hard,WTA,0.5849320983160027,0.4232904887434646,24
